packet_count,byte_count,duration,packet_rate,byte_rate,label,anomaly
2,12,0.001,666666.6667,4000000.0,Normal,-1
1,6,0.001,18348.62385,110091.7431,Normal,1
1,6,0.001,38461.53846,230769.2308,Normal,1
1,6,0.001,58823.52941,352941.1765,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001022,1956.947162,11741.68297,Normal,1
2,12,0.001,500000.0,3000000.0,Normal,1
1,6,0.001,47619.04762,285714.2857,Normal,1
2,12,0.001,500000.0,3000000.0,Normal,1
2,37,0.001,500000.0,9250000.0,Normal,-1
2,37,0.001,666666.6667,12300000.0,Normal,-1
2,37,0.001,1000000.0,37000000.0,Normal,-1
2,37,0.001,500000.0,9250000.0,Normal,-1
3,43,0.001,1000000.0,14300000.0,Normal,-1
1,0,0.001,37037.03704,0.0,Normal,1
2,0,0.001,1000000.0,0.0,Normal,-1
1,0,0.001,12987.01299,0.0,Normal,1
2,0,0.001,1000000.0,0.0,Normal,-1
1,0,0.001,16949.15254,0.0,Normal,1
1,0,0.001,8368.200837,0.0,Normal,1
3,0,0.001,1000000.0,0.0,Normal,-1
2,0,0.001,1000000.0,0.0,Normal,-1
2,248,0.001,500000.0,62000000.0,Normal,-1
3,254,0.001,600000.0,50800000.0,Normal,-1
2,12,0.001,500000.0,3000000.0,Normal,1
3,43,0.001,750000.0,10800000.0,Normal,-1
1,0,0.001,37037.03704,0.0,Normal,1
3,43,0.001,71428.57143,1023809.524,Normal,1
2,37,0.001,500000.0,9250000.0,Normal,-1
2,37,0.001,666666.6667,12300000.0,Normal,-1
2,37,0.001,666666.6667,12300000.0,Normal,-1
2,37,0.001,4070.556309,58344.64043,Normal,1
2,37,0.001,666666.6667,12300000.0,Normal,-1
2,37,0.001,666666.6667,12300000.0,Normal,-1
2,37,0.001,666666.6667,12300000.0,Normal,-1
3,43,0.001,10869.56522,155797.1014,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001,1000000.0,12000000.0,Normal,-1
1,6,0.001,19047.61905,114285.7143,Normal,1
1,6,0.001,30303.0303,181818.1818,Normal,1
1,6,0.001,29411.76471,176470.5882,Normal,1
2,12,0.001,41666.66667,250000.0,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001,666666.6667,4000000.0,Normal,-1
1,6,0.001,125000.0,750000.0,Normal,1
1,6,0.001,31746.03175,190476.1905,Normal,1
1,6,0.001,117647.0588,705882.3529,Normal,1
1,6,0.001,16260.1626,97560.97561,Normal,1
2,12,0.001,500000.0,3000000.0,Normal,1
2,12,0.001,500000.0,3000000.0,Normal,1
2,12,0.001,40816.32653,244897.9592,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
1,0,0.001,43478.26087,0.0,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001,666666.6667,4000000.0,Normal,-1
3,18,0.25117,11.9441016,71.66460963,Normal,1
2,12,0.001,40816.32653,244897.9592,Normal,1
1,0,0.001,32258.06452,0.0,Normal,1
2,12,0.001,17142.85714,102857.1429,Normal,1
1,0,0.001,54054.05405,0.0,Normal,1
2,12,0.001,666666.6667,4000000.0,Normal,-1
2,12,0.001,666666.6667,4000000.0,Normal,-1
1,6,0.001,20833.33333,125000.0,Normal,1
2,12,0.001,1000000.0,12000000.0,Normal,-1
2,12,0.001,41666.66667,250000.0,Normal,1
2,12,0.001,1000000.0,12000000.0,Normal,-1
2,12,0.999588,2.00082434,12.00494604,Normal,1
1,6,0.001,26666.66667,160000.0,Normal,1
1,6,0.001,62500.0,375000.0,Normal,1
2,74,0.071693,55.79345264,3487.09079,Normal,1
2,74,0.060738,65.85663012,4511.179163,Normal,1
20,176,0.126188,356.6107712,4881.605224,Normal,1
15,19897,0.008003,2624.015994,2486192.678,Normal,-1
2,617,0.001,1000000.0,100000000.0,Normal,-1
1,0,0.001,60000.0,0.0,Normal,1
3,4,0.001,53333.33333,106666.6667,Normal,1
4,46,0.001,19230.76923,221153.8462,Normal,1
3,0,0.514004,7.782040607,11.67306091,Normal,1
5,216,60.13092,0.133043033,29.08653318,Normal,1
5,213,60.130912,0.133043051,30.46685871,Normal,1
5,135,3.895966,1.540054508,46.45831098,Normal,1
5,135,3.895242,1.540340754,46.46694608,Normal,1
5,135,3.896308,1.539919329,46.45423308,Normal,1
5,135,3.895052,1.540415892,46.46921273,Normal,1
5,135,3.896461,1.539858862,46.45240899,Normal,1
8,372,31.020664,0.386838915,26.56293882,Normal,1
4,184,0.083718,71.66917509,5781.313457,Normal,1
29,8142,10.706606,4.950214849,1154.614263,Normal,-1
6,237,60.166984,0.16620411,80.27658491,Normal,1
2,68,0.024027,166.4793774,6992.133849,Normal,1
3,0,1.029807,5.826334449,17.47900335,Normal,1
2,0,2.979847,1.006763099,0.0,Normal,1
1,6,0.028315,70.63393961,423.8036376,Normal,1
1,6,0.028466,70.25925666,421.5555399,Normal,1
14,1029,101.027175,0.257356498,19.99462026,Normal,1
2,74,0.001,12121.21212,824242.4242,Normal,1
2,74,0.001,18099.54751,814479.638,Normal,1
2,70,0.001,13245.03311,1754966.887,Normal,1
2,70,0.001,14134.27562,1872791.519,Normal,1
2,70,0.001,24096.38554,2240963.855,Normal,1
2,80,0.001,14545.45455,1345454.545,Normal,1
2,80,0.001,15037.59398,1526315.789,Normal,1
2,64,0.102033,39.20300295,2548.195192,Normal,1
2,64,0.051453,77.74085087,5208.637009,Normal,1
2,72,0.00114,3508.77193,278947.3684,Normal,1
2,72,0.001,13651.87713,1365187.713,Normal,1
41,2664,1.33397,62.22028981,7210.057198,Normal,1
1,0,0.001,10695.18717,0.0,Normal,1
41,2728,1.335604,62.14416848,7009.562715,Normal,1
1,0,0.001,18018.01802,0.0,Normal,1
47,1325,0.143347,746.4404557,767898.8748,Normal,-1
46,1325,0.143899,722.7291364,774918.5192,Normal,-1
45,1325,0.142605,722.274815,771894.3936,Normal,-1
46,1313,0.142499,694.7417175,711415.5187,Normal,-1
27,162,0.023828,2434.11113,2498321.303,Normal,1
23,1169,0.11909,428.2475439,387891.5106,Normal,1
26,156,0.023841,2390.83931,2496707.353,Normal,1
47,1325,0.199037,552.661063,509322.3873,Normal,-1
46,1307,0.142923,741.6580956,678771.0865,Normal,-1
23,1169,0.4468,114.1450313,100147.7171,Normal,1
47,1325,0.141851,719.0643704,704443.3948,Normal,-1
51,1331,0.145376,763.5373101,767086.7268,Normal,-1
47,1313,0.142904,720.7635895,739699.3786,Normal,-1
50,1331,0.142508,764.8693407,741881.1575,Normal,-1
48,1319,0.142561,750.5559024,782149.3957,Normal,-1
52,1337,0.142389,786.5776148,783220.614,Normal,-1
45,1319,0.142403,723.2993687,739036.3967,Normal,-1
45,1313,0.142089,703.7842479,743942.1771,Normal,-1
49,1325,0.142098,753.0014497,743979.5071,Normal,-1
21,1169,0.128912,364.5897977,347105.0019,Normal,1
50,1337,0.143215,775.0584785,778703.3481,Normal,-1
48,1337,0.185921,570.1346271,576470.6515,Normal,-1
29,1169,0.131198,602.1433254,716306.651,Normal,1
48,1331,0.187746,596.5506589,539984.8732,Normal,-1
47,1325,0.18845,562.4834174,537935.792,Normal,-1
49,1325,0.300724,379.0851412,346776.4462,Normal,1
49,1343,0.195652,557.1116063,547829.8203,Normal,-1
51,1337,0.143173,761.3167287,738477.2269,Normal,-1
47,1325,0.142748,728.5566173,771121.1365,Normal,-1
47,1319,0.142235,731.1843077,722860.0555,Normal,-1
42,1283,0.152597,609.4484164,635582.613,Normal,-1
