flow_id,src,dst,proto,prediction,attack_type,confidence,duration,bytes,anomaly_flag
flow_0,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_1,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_2,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_3,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_4,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_5,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001022,12.0,1
flow_6,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_7,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_8,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_9,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_10,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_11,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,37.0,-1
flow_12,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_13,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,43.0,-1
flow_14,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_15,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_16,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_17,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_18,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_19,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_20,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_21,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_22,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,248.0,-1
flow_23,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,254.0,-1
flow_24,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_25,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,43.0,-1
flow_26,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_27,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,43.0,1
flow_28,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_29,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_30,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_31,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_32,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_33,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_34,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,37.0,1
flow_35,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,43.0,1
flow_36,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_37,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_38,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,12.0,-1
flow_39,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_40,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_41,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_42,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_43,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_44,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_45,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_46,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_47,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_48,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_49,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_50,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_51,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_52,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_53,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_54,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_55,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_56,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.25117,18.0,1
flow_57,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_58,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_59,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_60,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_61,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_62,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_63,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_64,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,12.0,-1
flow_65,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,12.0,1
flow_66,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,12.0,-1
flow_67,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.999588,12.0,1
flow_68,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_69,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,6.0,1
flow_70,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.071693,74.0,1
flow_71,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.060738,74.0,1
flow_72,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.126188,176.0,1
flow_73,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.008003,19897.0,-1
flow_74,N/A,N/A,Unknown,ATTACK,Anomaly,80.0,0.001,617.0,-1
flow_75,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,0.0,1
flow_76,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,4.0,1
flow_77,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.001,46.0,1
flow_78,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.514004,0.0,1
flow_79,N/A,N/A,Unknown,NORMAL,Normal,100.0,60.13092,216.0,1
flow_80,N/A,N/A,Unknown,NORMAL,Normal,100.0,60.130912,213.0,1
flow_81,N/A,N/A,Unknown,NORMAL,Normal,100.0,3.895966,135.0,1
flow_82,N/A,N/A,Unknown,NORMAL,Normal,100.0,3.895242,135.0,1
flow_83,N/A,N/A,Unknown,NORMAL,Normal,100.0,3.896308,135.0,1
flow_84,N/A,N/A,Unknown,NORMAL,Normal,100.0,3.895052,135.0,1
flow_85,N/A,N/A,Unknown,NORMAL,Normal,100.0,3.896461,135.0,1
flow_86,N/A,N/A,Unknown,NORMAL,Normal,100.0,31.020664,372.0,1
flow_87,N/A,N/A,Unknown,NORMAL,Normal,100.0,0.083718,184.0,1
