flow_id,src,dst,proto,prediction,attack_type,confidence,duration,bytes,anomaly_flag
flow_0,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_1,N/A,N/A,6,NORMAL,Normal,68.4,109.0,6.0,1
flow_2,N/A,N/A,6,NORMAL,Normal,65.55,52.0,6.0,1
flow_3,N/A,N/A,6,NORMAL,Normal,65.44,34.0,6.0,1
flow_4,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_5,N/A,N/A,6,ATTACK,DDoS,53.69,1022.0,12.0,1
flow_6,N/A,N/A,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_7,N/A,N/A,6,NORMAL,Normal,66.02,42.0,6.0,1
flow_8,N/A,N/A,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_9,N/A,N/A,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_10,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_11,N/A,N/A,6,NORMAL,Normal,58.9,1.0,37.0,1
flow_12,N/A,N/A,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_13,N/A,N/A,6,NORMAL,Normal,49.88,3.0,43.0,1
flow_14,N/A,N/A,6,NORMAL,Normal,90.25,54.0,0.0,1
flow_15,N/A,N/A,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_16,N/A,N/A,6,NORMAL,Normal,90.25,154.0,0.0,1
flow_17,N/A,N/A,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_18,N/A,N/A,6,NORMAL,Normal,90.25,118.0,0.0,1
flow_19,N/A,N/A,6,NORMAL,Normal,90.25,239.0,0.0,1
flow_20,N/A,N/A,6,NORMAL,Normal,89.77,1.0,0.0,1
flow_21,N/A,N/A,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_22,N/A,N/A,6,NORMAL,Normal,79.8,4.0,248.0,1
flow_23,N/A,N/A,6,NORMAL,Normal,89.3,5.0,254.0,1
flow_24,N/A,N/A,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_25,N/A,N/A,6,NORMAL,Normal,49.88,4.0,43.0,1
flow_26,N/A,N/A,6,NORMAL,Normal,90.25,54.0,0.0,1
flow_27,N/A,N/A,6,NORMAL,Normal,52.73,42.0,43.0,1
flow_28,N/A,N/A,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_29,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_30,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_31,N/A,N/A,6,NORMAL,Normal,64.11,737.0,37.0,1
flow_32,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_33,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_34,N/A,N/A,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_35,N/A,N/A,6,NORMAL,Normal,54.62,276.0,43.0,1
flow_36,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_37,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_38,N/A,N/A,6,ATTACK,DDoS,61.76,1.0,12.0,1
flow_39,N/A,N/A,6,NORMAL,Normal,68.4,105.0,6.0,1
flow_40,N/A,N/A,6,NORMAL,Normal,65.55,66.0,6.0,1
flow_41,N/A,N/A,6,NORMAL,Normal,65.55,68.0,6.0,1
flow_42,N/A,N/A,6,ATTACK,DDoS,58.91,48.0,12.0,1
flow_43,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_44,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_45,N/A,N/A,6,NORMAL,Normal,64.6,16.0,6.0,1
flow_46,N/A,N/A,6,NORMAL,Normal,65.55,63.0,6.0,1
flow_47,N/A,N/A,6,NORMAL,Normal,63.65,17.0,6.0,1
flow_48,N/A,N/A,6,NORMAL,Normal,68.4,123.0,6.0,1
flow_49,N/A,N/A,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_50,N/A,N/A,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_51,N/A,N/A,6,ATTACK,DDoS,58.91,49.0,12.0,1
flow_52,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_53,N/A,N/A,6,NORMAL,Normal,90.25,46.0,0.0,1
flow_54,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_55,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_56,N/A,N/A,6,NORMAL,Normal,64.01,251170.0,18.0,1
flow_57,N/A,N/A,6,ATTACK,DDoS,58.91,49.0,12.0,1
flow_58,N/A,N/A,6,NORMAL,Normal,90.25,62.0,0.0,1
flow_59,N/A,N/A,6,ATTACK,DDoS,56.06,175.0,12.0,1
flow_60,N/A,N/A,6,NORMAL,Normal,90.25,37.0,0.0,1
flow_61,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_62,N/A,N/A,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_63,N/A,N/A,6,NORMAL,Normal,67.45,96.0,6.0,1
flow_64,N/A,N/A,6,ATTACK,DDoS,61.76,1.0,12.0,1
flow_65,N/A,N/A,6,NORMAL,Normal,61.04,0.001,12.0,1
flow_66,N/A,N/A,6,ATTACK,DDoS,58.91,48.0,12.0,1
flow_67,N/A,N/A,6,ATTACK,DDoS,61.76,1.0,12.0,1
flow_68,N/A,N/A,6,NORMAL,Normal,83.54,999588.0,12.0,1
flow_69,N/A,N/A,6,NORMAL,Normal,67.45,75.0,6.0,1
flow_70,N/A,N/A,6,NORMAL,Normal,66.02,32.0,6.0,1
flow_71,N/A,N/A,17,NORMAL,Normal,90.25,71693.0,74.0,1
flow_72,N/A,N/A,17,NORMAL,Normal,85.97,60738.0,74.0,1
flow_73,N/A,N/A,6,NORMAL,Normal,94.05,126188.0,176.0,1
flow_74,N/A,N/A,6,ATTACK,Anomaly,15.73,8003.0,19897.0,-1
flow_75,N/A,N/A,6,NORMAL,Normal,79.32,1.0,617.0,1
flow_76,N/A,N/A,6,NORMAL,Normal,90.25,50.0,0.0,1
flow_77,N/A,N/A,6,NORMAL,Normal,60.31,75.0,4.0,1
flow_78,N/A,N/A,6,NORMAL,Normal,53.2,208.0,46.0,1
flow_79,N/A,N/A,6,NORMAL,Normal,83.59,514004.0,0.0,1
flow_80,N/A,N/A,6,NORMAL,Normal,95.0,60130920.0,216.0,1
flow_81,N/A,N/A,6,NORMAL,Normal,95.0,60130912.0,213.0,1
flow_82,N/A,N/A,6,NORMAL,Normal,95.0,3895966.0,135.0,1
flow_83,N/A,N/A,6,NORMAL,Normal,95.0,3895242.0,135.0,1
flow_84,N/A,N/A,6,NORMAL,Normal,95.0,3896308.0,135.0,1
flow_85,N/A,N/A,6,NORMAL,Normal,95.0,3895052.0,135.0,1
flow_86,N/A,N/A,6,NORMAL,Normal,95.0,3896461.0,135.0,1
flow_87,N/A,N/A,17,NORMAL,Normal,95.0,31020664.0,372.0,1
flow_88,N/A,N/A,17,NORMAL,Normal,92.62,83718.0,184.0,1
flow_89,N/A,N/A,6,ATTACK,Anomaly,26.53,10706606.0,8142.0,-1
flow_90,N/A,N/A,6,NORMAL,Normal,92.62,60166984.0,237.0,1
flow_91,N/A,N/A,17,NORMAL,Normal,75.52,24027.0,68.0,1
flow_92,N/A,N/A,6,NORMAL,Normal,83.59,1029807.0,0.0,1
flow_93,N/A,N/A,6,NORMAL,Normal,91.16,2979847.0,0.0,1
flow_94,N/A,N/A,6,NORMAL,Normal,92.62,28315.0,6.0,1
flow_95,N/A,N/A,6,NORMAL,Normal,92.62,28466.0,6.0,1
flow_96,N/A,N/A,6,NORMAL,Normal,95.0,101027175.0,1029.0,1
flow_97,N/A,N/A,17,NORMAL,Normal,77.9,330.0,74.0,1
flow_98,N/A,N/A,17,NORMAL,Normal,77.9,221.0,74.0,1
flow_99,N/A,N/A,17,NORMAL,Normal,72.2,302.0,70.0,1
flow_100,N/A,N/A,17,NORMAL,Normal,72.2,283.0,70.0,1
flow_101,N/A,N/A,17,NORMAL,Normal,72.2,166.0,70.0,1
flow_102,N/A,N/A,17,NORMAL,Normal,78.38,275.0,80.0,1
flow_103,N/A,N/A,17,NORMAL,Normal,78.38,266.0,80.0,1
flow_104,N/A,N/A,17,NORMAL,Normal,82.65,102033.0,64.0,1
