flow_id,src,dst,proto,prediction,attack_type,confidence,duration,bytes,anomaly_flag
flow_0,104.16.207.165,192.168.10.5,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_1,104.16.28.216,192.168.10.5,6,NORMAL,Normal,68.4,109.0,6.0,1
flow_2,104.16.28.216,192.168.10.5,6,NORMAL,Normal,65.55,52.0,6.0,1
flow_3,104.17.241.25,192.168.10.16,6,NORMAL,Normal,65.44,34.0,6.0,1
flow_4,104.19.196.102,192.168.10.5,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_5,104.20.10.120,192.168.10.5,6,ATTACK,DDoS,53.69,1022.0,12.0,1
flow_6,104.20.10.120,192.168.10.5,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_7,104.20.10.120,192.168.10.5,6,NORMAL,Normal,66.02,42.0,6.0,1
flow_8,104.28.13.116,192.168.10.8,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_9,104.97.123.193,192.168.10.5,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_10,104.97.125.160,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_11,104.97.125.160,192.168.10.5,6,NORMAL,Normal,58.9,1.0,37.0,1
flow_12,104.97.125.160,192.168.10.5,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_13,104.97.139.37,192.168.10.5,6,NORMAL,Normal,49.88,3.0,43.0,1
flow_14,104.97.140.32,192.168.10.16,6,NORMAL,Normal,90.25,54.0,0.0,1
flow_15,121.29.54.141,192.168.10.25,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_16,121.29.54.141,192.168.10.25,6,NORMAL,Normal,90.25,154.0,0.0,1
flow_17,121.29.54.141,192.168.10.25,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_18,121.29.54.141,192.168.10.25,6,NORMAL,Normal,90.25,118.0,0.0,1
flow_19,121.29.54.141,192.168.10.25,6,NORMAL,Normal,90.25,239.0,0.0,1
flow_20,121.29.54.141,192.168.10.25,6,NORMAL,Normal,89.77,1.0,0.0,1
flow_21,121.29.54.141,192.168.10.25,6,NORMAL,Normal,85.97,1.0,0.0,1
flow_22,138.201.37.241,192.168.10.5,6,NORMAL,Normal,79.8,4.0,248.0,1
flow_23,144.76.121.178,192.168.10.5,6,NORMAL,Normal,89.3,5.0,254.0,1
flow_24,145.243.233.163,192.168.10.5,6,ATTACK,DDoS,61.87,4.0,12.0,1
flow_25,151.101.0.166,192.168.10.9,6,NORMAL,Normal,49.88,4.0,43.0,1
flow_26,151.101.0.249,192.168.10.16,6,NORMAL,Normal,90.25,54.0,0.0,1
flow_27,151.101.0.249,192.168.10.9,6,NORMAL,Normal,52.73,42.0,43.0,1
flow_28,151.101.1.108,192.168.10.5,6,NORMAL,Normal,58.9,4.0,37.0,1
flow_29,151.101.1.5,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_30,151.101.130.2,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_31,151.101.130.2,192.168.10.5,6,NORMAL,Normal,64.11,737.0,37.0,1
flow_32,151.101.130.2,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_33,151.101.2.2,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_34,151.101.2.2,192.168.10.5,6,NORMAL,Normal,58.9,3.0,37.0,1
flow_35,151.101.44.249,192.168.10.9,6,NORMAL,Normal,54.62,276.0,43.0,1
flow_36,152.163.13.4,192.168.10.9,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_37,152.163.13.4,192.168.10.9,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_38,152.163.56.2,192.168.10.9,6,ATTACK,DDoS,61.76,1.0,12.0,1
flow_39,152.163.66.165,192.168.10.16,6,NORMAL,Normal,68.4,105.0,6.0,1
flow_40,152.163.66.165,192.168.10.16,6,NORMAL,Normal,65.55,66.0,6.0,1
flow_41,152.163.66.165,192.168.10.16,6,NORMAL,Normal,65.55,68.0,6.0,1
flow_42,169.60.66.35,192.168.10.9,6,ATTACK,DDoS,58.91,48.0,12.0,1
flow_43,172.217.10.238,192.168.10.8,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_44,172.217.10.238,192.168.10.8,6,ATTACK,DDoS,61.87,3.0,12.0,1
flow_45,172.217.10.238,192.168.10.9,6,NORMAL,Normal,64.6,16.0,6.0,1
flow_46,172.217.10.238,192.168.10.9,6,NORMAL,Normal,65.55,63.0,6.0,1
flow_47,172.217.10.238,192.168.10.9,6,NORMAL,Normal,63.65,17.0,6.0,1
